p bs_error_test bs_bias bs_var 
1 2.4478e-02 2.4326e-02 1.5207e-04 
2 1.4775e-02 1.4574e-02 2.0114e-04 
3 1.0266e-02 1.0085e-02 1.8106e-04 
4 6.4668e-03 6.2666e-03 2.0021e-04 
5 4.8402e-03 4.6545e-03 1.8565e-04 
6 4.8759e-03 4.6162e-03 2.5964e-04 
7 5.1442e-03 4.4641e-03 6.8016e-04 
8 6.5463e-03 4.1716e-03 2.3747e-03 
9 1.0080e-02 5.6501e-03 4.4299e-03 
10 2.6005e-02 8.5647e-03 1.7440e-02 
11 4.7006e-02 4.9406e-03 4.2065e-02 
12 4.3644e-01 3.7779e-02 3.9866e-01 
13 3.5115e+00 5.4523e-03 3.5060e+00 
14 5.2447e+01 4.0953e-01 5.2038e+01 
15 3.9162e+02 2.3921e+01 3.6770e+02 
16 3.1095e+03 8.1524e+00 3.1013e+03 
17 8.9683e+04 3.7773e+01 8.9645e+04 
18 3.2609e+06 7.3277e+04 3.1877e+06 
19 1.1035e+07 5.1551e+04 1.0983e+07 
20 1.2229e+07 9.6182e+01 1.2229e+07 
