p bs_error_test bs_bias bs_var 
1 2.4692e-02 2.4346e-02 3.4631e-04 
2 2.3725e-02 2.3336e-02 3.8865e-04 
3 2.2096e-02 2.1721e-02 3.7451e-04 
4 2.0901e-02 2.0503e-02 3.9747e-04 
5 2.0328e-02 1.9931e-02 3.9674e-04 
6 2.0207e-02 1.9805e-02 4.0244e-04 
7 2.0334e-02 1.9890e-02 4.4396e-04 
8 2.0328e-02 1.9890e-02 4.3742e-04 
9 2.0484e-02 1.9990e-02 4.9321e-04 
10 2.0463e-02 2.0004e-02 4.5973e-04 
11 2.0514e-02 2.0066e-02 4.4749e-04 
12 2.0549e-02 2.0059e-02 4.8991e-04 
13 2.0516e-02 2.0013e-02 5.0336e-04 
14 2.0392e-02 1.9904e-02 4.8800e-04 
15 2.0396e-02 1.9909e-02 4.8725e-04 
16 2.0461e-02 1.9902e-02 5.5924e-04 
17 2.0304e-02 1.9770e-02 5.3447e-04 
18 2.0288e-02 1.9738e-02 5.4941e-04 
19 2.0196e-02 1.9658e-02 5.3873e-04 
20 2.0256e-02 1.9680e-02 5.7545e-04 
