p bs_error_test bs_bias bs_var 
1 2.4571e-02 2.4347e-02 2.2346e-04 
2 1.8091e-02 1.7014e-02 1.0768e-03 
3 1.6803e-02 1.5776e-02 1.0265e-03 
4 1.6682e-02 1.4926e-02 1.7563e-03 
5 1.6761e-02 1.4818e-02 1.9433e-03 
6 1.6585e-02 1.4249e-02 2.3362e-03 
7 1.6564e-02 1.3800e-02 2.7643e-03 
8 1.7488e-02 1.3982e-02 3.5057e-03 
9 1.5197e-01 1.7745e-02 1.3423e-01 
10 2.3770e+03 2.3922e+01 2.3531e+03 
11 3.1405e+09 3.1405e+07 3.1091e+09 
12 6.6279e+03 7.5892e+01 6.5520e+03 
13 2.0859e+09 2.0800e+07 2.0651e+09 
14 5.5820e+18 5.5674e+16 5.5264e+18 
15 5.0494e+16 6.6094e+14 4.9833e+16 
16 7.3451e+31 7.3999e+29 7.2711e+31 
17 5.8152e+20 5.7565e+18 5.7576e+20 
18 2.6877e+42 2.6877e+40 2.6608e+42 
19 4.3850e+35 6.0037e+33 4.3250e+35 
20 7.0403e+57 7.0403e+55 6.9699e+57 
21 1.2873e+51 1.2873e+49 1.2744e+51 
22 1.5264e+49 1.3939e+47 1.5125e+49 
23 1.3638e+55 2.1209e+53 1.3426e+55 
24 6.5802e+73 6.5690e+71 6.5145e+73 
25 7.0682e+78 6.9958e+76 6.9982e+78 
26 1.0303e+91 1.0303e+89 1.0200e+91 
27 9.4335e+116 9.4335e+114 9.3392e+116 
28 2.7578e+74 2.7578e+72 2.7302e+74 
29 3.4827e+104 3.4827e+102 3.4479e+104 
30 5.3317e+116 5.3317e+114 5.2784e+116 
